post_id,date,username,body,num_likes,location,joined,points,clubs,title,mean_word_length,mean_sent_length,word_count,polarity,subjectivity
106252478,2008-09-12,Legs Magillicutty,Hi fellow Roach.,0,Durango,May 2002,0,American Alpine Club Member,Solylent Green IS chipping!!,4.666666666666667,4.0,4,0.0,0.0
114199900,2018-03-29,Kevin R,climberish wrote:I mean... its Paul Robs... do you really think he spent much time projecting it?Good point. I feel much better knowing he probably only spent 15 minutes on this.,0,"Boulder, CO",May 2008,0,,Bouldering + Sport Climbing = SPOLDERING?,4.966666666666667,19.0,38,0.0553571428571428,0.3982142857142857
106048965,2007-10-24,Joseph Stover,"(kinda off topic)  caughtinside wrote:You have to put 5.6 if that's the historical rating.Although I do tend to put the guidebook rating and a side note if I disagree(almost never more than 2 letter grades). I would put 5.8 for a 5.6 that is widely recognized to go under the 'modern' 5.8 standard, with a note to the historical rating. I think a route should be rated according to a modern concensus regardless. Sure routes will get upgraded over time, but some also get downgraded. I don't think a rating system is something meant to be stagnant. It will change as the climbing community grows and the different styles and types of routes go up.    Eric Pohlman wrote:When in doubt, a little sandbag is better than a little fluff.This seems to be the concensus on how to grade routes, but it just seems to me that it would be better to fluff it and let the concensus drive it down. That way it is less likely for someone to get on something they can't handle, although I guess having to make the choice to either bail or grind through somehow is part of the experience.   (real off topic now)  It's interesting how historical ratings change, I just had a thought on why this happens. The YDS is technically supposed to grade according to sustained difficulty as I understand. And maybe if you have a 5.6 route that has a 5.9 move on it, it is still graded 5.6, maybe 5.7. Since that is what it is sustained at. Whatever ""5.9 move"" means... that's another story. Maybe that's why routes in Yosemite tend to be stiff(compared to most places, as I have heard), due to a more strict sustained grading system. One slighlty harder move is not enough to bump the grade up when the rest of the route is sustained at an easier grade. Where as many areas grade on the sustained nature of the climb sometimes and then according to the hardest crux move other times.   What is probably happening is that you get people climbing routes that are graded, say 5.10, but are really just sustained 5.9 moves with maybe an easy 5.10a/b crux. After getting used to this, one might get on a 5.10 eventually that is not as sustained but has a crux of similar difficulty. While the previous route was ""legitimate"" 5.10 due to its sustained nature, the new route might be 5.10a or 5.9/9+ since it is not sustained. This might lead to upgrading it to solid 5.10. And all this adds up over decades to a number grade difference eventually. So modern grades have been evolving towards a hardest move on the route system + the sustained'ness' of the climb, rather than just a 'pure' sustained grading system ('or' the hardest move). Ok... I'm done rambling.... for now.",0,"Batesville, AR",Dec 2005,0,,To Sand bag or not......,4.545263157894737,22.791666666666668,547,0.1051340472393104,0.3716839447102605
109378616,2014-08-24,Tommy Layback,"Nick Stayner wrote:That's a weak, disrespectful thing to say and it shouldn't even warrant a response, but it's a rainy Sunday, so... ....By your logic, should the Bachar-Yerian be retroed, since it's ""silly"" to ""honor the ethics of an FA done in such a fashion"" (your words)?    Raining and windy in Wyo, too, so I'll bite again...   First, my comment regarding Bachar's death is merely stating a fact.  Please help me understand why you and others view this as a weak, disrespectful thing to say.   Regarding Bachar-Yerian:  by my logic, NO, I wouldn't support retrobolting it because I have TWO criteria (already clearly stated twice in this thread) and B-Y only meets the first - the first criteria you understood (X-rated routes), the second was that the line had to be unique (meaning type of movement, rock quality) for the given area which, to my knowledge (and I've never climbed in Tuolumne), Bachar-Yerian is not - it is only unique in it's boldness (someone's probably going to correct me on this).  I also recognize that these two conditions for retrobolting are rarely (if ever) met for a particular locale; however, the OP brought this up as a purely hypothetical debate.    As another hypothetical:  what if someone did retrobolt B-Y so that it went from X to R-rated.  People could still climb it as an X-rated route if they chose.  I still believe that the desire to keep certain climbs X-rated is ultimately driven by ego.  Because the desire to keep it X-rated is so that the bold (or reckless) can say ""I did it and you can't"" which in my opinion is a silly notion.",0,"Sheridan, WY",Jan 2011,5,,Ethics behind retro bolting  how far do they go?,4.709090909090909,37.888888888888886,341,0.0275510204081632,0.6359410430839002
108278310,2013-08-07,mucci,"I have pulled 4 of those. They were 2"" or 2.25"" long   You need to drill out the center with a HSS bit.   Problem is that set nail in the center, so you start very small and bore a 1/4"" deep with a small bit, slowly working your way up to a 17/64ths or 1/4"", then on to the 3/8.   You weaken the remaining portion of the bored out stud, enough to remove the hanger. Then screw an appropriate size lag bot into the hole you created in the bolt sleeve.   This gives you some leverage to work with.  Beat that around a bit with the ole hammer and it will come out in one piece.   It sucked, and I burned through 2 bits that were cheap.   The last Petzl long life I removed by working it back and forth with chisels, and ended up getting the whole enchilada out after about 45min.   Best tamper proof bolt out there in that style.",0,sf ca,Jan 2007,5,,Tuning Fork - Bolt Removal,4.012345679012346,18.2,182,0.0265625,0.3866666666666667
118138509,2019-12-11,Dallin Carey,Artem Vasilyev wrote: maybe the next step in alpine climbing is bringing the rack of beer and a bong to a bivy in the Himalayas.Twight probably did that 20 years ago.,5,Missoula,Aug 2014,7,American Alpine Club Member,Stop Making Movies About White Guys Doing Cool Shit: The Sequel,4.387096774193548,33.0,33,0.0,0.0
107634735,2012-06-19,MTN MIA,"Elena Sera Jose wrote:What do u all wanna know?  I will tell u.I was planning to climb Eldo in October, but I am worried about the weather. Will it snow? Shall I plan to bring a four season tent??? Or sleep in the car??",0,Vail,May 2006,5,American Alpine Club Member,phone number for rock and resole?,3.977272727272727,9.333333333333334,56,0.0,0.0
107014440,2011-01-18,Choss Chasin',Climb in your underwear.  Pants are very constricting.,0,"Torrance, CA",Aug 2010,5,,Highstep & Stemming Flexibility,5.75,5.0,10,0.2,0.3
108075823,2013-04-06,highaltitudeflatulentexpulsion,"Locker,   Sniffing barge on a lovely Saturday afternoon eh? How good are you? What rubber do you have? What do you charge? Can you maintain most of the original shape and size? How sober are you when you resole?   I'm quite serious. I'm talking about my top shelf shoes, not my slop shoes. Are you up to it?",0,Colorado,Oct 2012,5,,"Buy La Sportiva, EXPECT delaminations!",4.241379310344827,7.888888888888889,71,0.3345238095238095,0.5666666666666667
113573191,2017-09-11,Old lady H,"Tim Lutz wrote:we prefer the term 'sausage fest'All beef, no pork, please.I'm Jewish.Best, OLH",7,"Boise, ID",Aug 2015,4,"Access Fund Member, American Alpine Club Member",First Female Ascent. Should this be an actual thing?,5.785714285714286,20.0,20,0.0,0.0
